metric,metric_label,region,window,states,climate,n_winters,n_stations,r,r2,signed_r2,bh_r_mean,bh_r_sd,bh_r2_mean,bh_r2_sd,sig_2sigma,sig_2sigma_cal,p_perm,mean_nino,mean_nina,n_nino,n_nina,r2_phase,r2_index,r2_strength_gain,r2_within_nino,r2_within_nina,slope_within_nino,fdr_significant,n_tests
mean_swe,Base (mean SWE in window),White Mtns AZ (Sunrise Park),Spring,AZ,continental,46,7,0.48907503351082326,0.2391943884036129,0.2391943884036129,0.48945886536042527,0.06406313825477254,0.243674066562965,0.06271254192321804,True,True,0.0009998000399920016,0.5571928809137474,-0.35989042623651,15,16,0.17623372476756682,0.2391943884036129,0.06296066363604608,0.12449443272559263,0.02751881284620467,0.5713953785216009,True,944
days_with_base,Days per 30 with a skiable base,Missoula ranges (Montana Snowbowl),Midwinter,MT,transitional,46,7,-0.5009101409467868,0.2509109693033298,-0.2509109693033298,-0.5015838927132572,0.047574649033342076,0.25384974866003,0.04772535531322143,True,True,0.0009998000399920016,-0.43875999548871936,0.21877141465160993,15,16,0.21717245249635408,0.2509109693033298,0.033738516806975705,0.06482860316775571,0.07154514741731666,-0.2733448931000295,True,944
days_with_base,Days per 30 with a skiable base,Whitefish & Flathead Range,Spring,MT,transitional,50,6,-0.42249477689970866,0.1785018365075346,-0.1785018365075346,-0.423666834380858,0.048319899086082196,0.18182839920198654,0.04094307736680591,True,True,0.0009998000399920016,-0.4902164881228843,0.43043778887509854,18,16,0.2574734885666027,0.1785018365075346,-0.07897165205906809,0.04258363492246274,0.14330541724623455,0.25544321879276277,True,944
mean_swe,Base (mean SWE in window),S Sangre de Cristo (Santa Fe),Spring,NM,continental,46,6,0.47265941103573145,0.22340691884064454,0.22340691884064454,0.4732367327652404,0.05374990715050546,0.22684205775700753,0.05087286089268048,True,True,0.0009998000399920016,0.6489821603383209,-0.24966663593693827,15,16,0.25143709255449265,0.22340691884064454,-0.02803017371384811,0.04357460596168572,0.03369703528394032,0.2041065796578651,True,944
storm_days,Storm days per 30 (>= 2 in of new snow),Park Range (Steamboat),Holidays,CO,continental,47,15,-0.4739950118299046,0.2246712712396314,-0.2246712712396314,-0.47657198660084593,0.0540482630478281,0.2300420731511641,0.05151577618605706,True,True,0.0009998000399920016,-0.5754232847081842,0.4023918005947529,16,16,0.21954276768225311,0.2246712712396314,0.005128503557378289,0.06998935469825696,0.041347390446164714,-0.22257052517651715,True,944
new_snow_in_total,Total new snow in the window (in),S Sangre de Cristo (Santa Fe),Early season,NM,continental,46,6,0.46854454935407464,0.21953399472941287,0.21953399472941287,0.46785264821600514,0.05930321751424659,0.2224029720502711,0.055490334723540084,True,True,0.0009998000399920016,0.5756193652277297,-0.3897309920662393,15,16,0.22145231082136485,0.21953399472941287,-0.001918316091951977,0.13915006553795803,0.0019504652932335884,0.40899225276438755,True,944
mean_swe,Base (mean SWE in window),Coeur d'Alenes (Silver/Lookout),Spring,ID+MT,transitional,44,7,-0.5022280224010688,0.25223298648488846,-0.25223298648488846,-0.50384360172278,0.047762061496687706,0.2561395895153967,0.04812921818039209,True,True,0.0009998000399920016,-0.6730101615422991,0.4183306979695578,15,16,0.2865137388047687,0.25223298648488846,-0.03428075231988026,0.07481744972002473,0.29088626047413585,0.26834631197508907,True,944
new_snow_in_total,Total new snow in the window (in),Jemez (Pajarito),Early season,NM,continental,46,7,0.4753308296008904,0.22593939756907072,0.22593939756907072,0.47432032589737066,0.06113361220086617,0.22871709010011382,0.05799382972479663,True,True,0.0011997600479904018,0.5755404915242092,-0.3508094992270291,15,16,0.20448474947298478,0.22593939756907072,0.021454648096085938,0.2887179875234307,0.0019368037494774594,0.5994018140020233,True,944
mean_depth,Base (mean snow depth),Whitefish & Flathead Range,Spring,MT,transitional,25,10,-0.582760463990679,0.3396097583906315,-0.3396097583906315,-0.5841707296114473,0.0415255646165854,0.3429798138514969,0.04851603875919599,True,True,0.0013997200559888023,-0.674626132153619,0.6202400490443739,9,9,0.40121322067242626,0.3396097583906315,-0.06160346228179475,0.028199369547986613,0.11946802197924679,0.17107989544868796,True,944
big_storm_days,Powder days per 30 (>= 6 in of new snow),Coeur d'Alenes (Silver/Lookout),Midwinter,ID+MT,transitional,44,7,-0.46408572639634627,0.21537556144482436,-0.21537556144482436,-0.4642049799341678,0.05703883909776366,0.2187396925613017,0.052955426317691214,True,True,0.0013997200559888023,-0.40219379317083825,0.39441299590332174,15,16,0.21369192707871654,0.21537556144482436,0.001683634366107828,0.018139549380769972,0.1761043176895694,-0.09913605334031045,True,944
