region,window,metric,metric_label,unit,n_winters,all_winters,n_nino,mean_nino,n_nina,mean_nina,n_neutral,mean_neutral,nino_minus_all,nina_minus_all,nino_minus_nina,pct_change_nino,pct_change_nina
Bitterroot & Lolo (Montana Snowbowl),Spring,new_snow_in_total,Total new snow in the window,in,59,37.50209722619381,20,31.84250720521145,22,40.09095119553591,17,40.810156819965634,-5.65959002098236,2.5888539693420967,-8.248443990324457,-15.091396054056808,6.9032245149582705
Bitterroot & Lolo (Montana Snowbowl),Spring,days_with_base_per_window,Days with a skiable base,days,59,30.31684337051925,20,25.781803473868695,22,34.248487038803326,17,30.56417497232876,-4.535039896650556,3.9316436682840745,-8.46668356493463,-14.958812964876568,12.968512652301028
Bitterroot & Lolo (Montana Snowbowl),Spring,mean_swe_in,Average base (snow water equivalent),in,59,18.735097838790743,20,15.382184995385902,22,21.030146103839638,17,19.709638723321397,-3.352912843404841,2.2950482650488944,-5.647961108453735,-17.896425587181533,12.24999348707446
Bitterroot & Lolo (Montana Snowbowl),Spring,mean_depth_in,Average base (snow depth),in,26,58.39340225845766,9,50.30028374076731,10,63.786839339557574,7,61.093930236773964,-8.09311851769035,5.393437081099911,-13.486555598790261,-13.859645447389816,9.236380948018368
Black Hills (Terry Peak),Early season,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,26,0.25716640086726844,9,0.10028557334166067,10,0.4391878131237017,7,0.19883973303385957,-0.15688082752560778,0.18202141225643326,-0.33890223978204104,-61.00362527785224,70.77962425985041
Black Hills (Terry Peak),Early season,storm_days_per_window,Storm days (>= 2 in of new snow),days,26,2.443882906226599,9,2.1761367493516897,10,2.968266058409026,7,2.0390091762337295,-0.2677461568749093,0.5243831521824269,-0.7921293090573363,-10.955768633298165,21.456967142181306
Black Hills (Terry Peak),Early season,new_snow_in_total,Total new snow in the window,in,26,21.869696675366477,9,18.46905081938276,10,27.368942201946936,7,18.38589059508775,-3.4006458559837185,5.499245526580459,-8.899891382564178,-15.549579431589136,25.14550433968608
Black Hills (Terry Peak),Early season,days_with_base_per_window,Days with a skiable base,days,26,0.0,9,0.0,10,0.0,7,0.0,0.0,0.0,0.0,,
Black Hills (Terry Peak),Early season,mean_swe_in,Average base (snow water equivalent),in,26,1.1587078841984957,9,1.1100749912879766,10,1.3906719708181157,7,0.8898586227697057,-0.04863289291051909,0.23196408661961998,-0.28059697953013907,-4.197165961648699,20.019203267963842
Black Hills (Terry Peak),Early season,mean_depth_in,Average base (snow depth),in,23,5.0450342056376,8,4.967922103195615,9,5.262161557372886,6,4.822159314623981,-0.0771121024419843,0.21712735173528674,-0.29423945417727104,-1.5284753145145176,4.303783540112704
