region,window,metric,phase,strength,n_winters,mean,all_winters,diff,pct_change
Tetons (Jackson/Targhee),Midwinter,big_storm_days_per_window,La Nina,weak,7,1.1190438704405576,1.7595993489324204,-0.6405554784918628,-36.403484627366964
Tetons (Jackson/Targhee),Midwinter,big_storm_days_per_window,Neutral,neutral,15,2.2859962475813527,1.7595993489324204,0.5263968986489322,29.915724790890973
Tetons (Jackson/Targhee),Spring,big_storm_days_per_window,El Nino,moderate,4,0.9191163070267085,0.8567194535297764,0.062396853496932136,7.28323061182402
Tetons (Jackson/Targhee),Spring,big_storm_days_per_window,El Nino,strong,3,1.266106990945034,0.8567194535297764,0.4093875374152576,47.78548400278957
Tetons (Jackson/Targhee),Spring,big_storm_days_per_window,El Nino,very strong,3,1.0618213016376206,0.8567194535297764,0.20510184810784415,23.940374793965802
Tetons (Jackson/Targhee),Spring,big_storm_days_per_window,El Nino,weak,5,0.6270698668361893,0.8567194535297764,-0.22964958669358715,-26.805693012736683
Tetons (Jackson/Targhee),Spring,big_storm_days_per_window,La Nina,moderate,4,0.3812657594813136,0.8567194535297764,-0.4754536940484628,-55.49701154672541
Tetons (Jackson/Targhee),Spring,big_storm_days_per_window,La Nina,strong,5,1.088364952735023,0.8567194535297764,0.23164549920524657,27.03866455358778
Tetons (Jackson/Targhee),Spring,big_storm_days_per_window,La Nina,weak,7,0.7056927439468186,0.8567194535297764,-0.15102670958295783,-17.628490745799166
Tetons (Jackson/Targhee),Spring,big_storm_days_per_window,Neutral,neutral,15,0.913783894207058,0.8567194535297764,0.05706444067728156,6.660808324378525
Uinta Mtns,Early season,big_storm_days_per_window,El Nino,moderate,4,0.5637682554890742,0.8506287256160546,-0.28686047012698046,-33.72334621302922
Uinta Mtns,Early season,big_storm_days_per_window,El Nino,strong,3,0.5907759714984878,0.8506287256160546,-0.2598527541175668,-30.548316356160264
Uinta Mtns,Early season,big_storm_days_per_window,El Nino,very strong,3,0.9267792252979015,0.8506287256160546,0.07615049968184684,8.952260532548559
Uinta Mtns,Early season,big_storm_days_per_window,El Nino,weak,6,1.00811555334736,0.8506287256160546,0.1574868277313054,18.51416757848708
Uinta Mtns,Early season,big_storm_days_per_window,La Nina,moderate,4,1.038422965815737,0.8506287256160546,0.18779424019968227,22.077110088620064
Uinta Mtns,Early season,big_storm_days_per_window,La Nina,strong,5,0.6253287501152329,0.8506287256160546,-0.2252999755008217,-26.486288167337836
Uinta Mtns,Early season,big_storm_days_per_window,La Nina,weak,7,0.9843295606292797,0.8506287256160546,0.13370083501322505,15.717883841319171
Uinta Mtns,Early season,big_storm_days_per_window,Neutral,neutral,16,0.8626940224310577,0.8506287256160546,0.012065296815003124,1.4183975278127388
Uinta Mtns,Holidays,big_storm_days_per_window,El Nino,moderate,4,0.12918913293563583,0.5354594349597072,-0.40627030202407133,-75.87321755842117
Uinta Mtns,Holidays,big_storm_days_per_window,El Nino,strong,3,0.0,0.5354594349597072,-0.5354594349597072,-100.0
Uinta Mtns,Holidays,big_storm_days_per_window,El Nino,very strong,3,0.27027071087100724,0.5354594349597072,-0.2651887240886999,-49.525455482665116
Uinta Mtns,Holidays,big_storm_days_per_window,El Nino,weak,6,0.3844266108465517,0.5354594349597072,-0.15103282411315544,-28.20621213342156
Uinta Mtns,Holidays,big_storm_days_per_window,La Nina,moderate,4,0.30732629116361854,0.5354594349597072,-0.22813314379608862,-42.60512167709874
Uinta Mtns,Holidays,big_storm_days_per_window,La Nina,strong,5,0.8731944187292762,0.5354594349597072,0.337734983769569,63.07386922689732
Uinta Mtns,Holidays,big_storm_days_per_window,La Nina,weak,7,0.9915978281793256,0.5354594349597072,0.45613839321961847,85.18635837539075
Uinta Mtns,Holidays,big_storm_days_per_window,Neutral,neutral,16,0.5957164058171833,0.5354594349597072,0.060256970857476166,11.253321339273898
Uinta Mtns,Midwinter,big_storm_days_per_window,El Nino,moderate,4,1.0856805465917791,1.260229137656927,-0.17454859106514786,-13.850543988347724
Uinta Mtns,Midwinter,big_storm_days_per_window,El Nino,strong,3,0.8792521411650008,1.260229137656927,-0.3809769964919262,-30.230771937257003
Uinta Mtns,Midwinter,big_storm_days_per_window,El Nino,very strong,3,0.8714409451456696,1.260229137656927,-0.3887881925112574,-30.850595411093998
Uinta Mtns,Midwinter,big_storm_days_per_window,El Nino,weak,6,2.0037166316299784,1.260229137656927,0.7434874939730514,58.99621519268915
Uinta Mtns,Midwinter,big_storm_days_per_window,La Nina,moderate,4,1.111193771404088,1.260229137656927,-0.14903536625283897,-11.826053040634502
Uinta Mtns,Midwinter,big_storm_days_per_window,La Nina,strong,5,1.816408542948872,1.260229137656927,0.5561794052919451,44.13319678721428
Uinta Mtns,Midwinter,big_storm_days_per_window,La Nina,weak,7,0.5736061666630545,1.260229137656927,-0.6866229709938725,-54.483978387491646
Uinta Mtns,Midwinter,big_storm_days_per_window,Neutral,neutral,16,1.333239775340713,1.260229137656927,0.07301063768378602,5.793441486326096
Uinta Mtns,Spring,big_storm_days_per_window,El Nino,moderate,4,1.0581964340480727,1.0350200696088379,0.023176364439234876,2.2392188441325445
Uinta Mtns,Spring,big_storm_days_per_window,El Nino,strong,3,0.7623967003116766,1.0350200696088379,-0.27262336929716124,-26.339911399031422
Uinta Mtns,Spring,big_storm_days_per_window,El Nino,very strong,3,1.168802488206136,1.0350200696088379,0.13378241859729822,12.925586906528125
Uinta Mtns,Spring,big_storm_days_per_window,El Nino,weak,6,0.6818861795187315,1.0350200696088379,-0.3531338900901063,-34.1185548434404
Uinta Mtns,Spring,big_storm_days_per_window,La Nina,moderate,4,1.0240045646459341,1.0350200696088379,-0.01101550496290371,-1.0642793590530828
Uinta Mtns,Spring,big_storm_days_per_window,La Nina,strong,5,0.8143400885535497,1.0350200696088379,-0.2206799810552882,-21.321323859805844
Uinta Mtns,Spring,big_storm_days_per_window,La Nina,weak,7,1.5158404879304708,1.0350200696088379,0.4808204183216329,46.45517825594899
Uinta Mtns,Spring,big_storm_days_per_window,Neutral,neutral,16,1.0490413028438317,1.0350200696088379,0.014021233234993824,1.3546822565762255
W Central Idaho (Brundage/Tamarack),Early season,big_storm_days_per_window,El Nino,moderate,4,0.8703586440713532,1.6279422666649968,-0.7575836225936435,-46.536270855945624
W Central Idaho (Brundage/Tamarack),Early season,big_storm_days_per_window,El Nino,strong,3,1.2317861890927324,1.6279422666649968,-0.39615607757226434,-24.334774376478958
W Central Idaho (Brundage/Tamarack),Early season,big_storm_days_per_window,El Nino,very strong,3,2.171108454248331,1.6279422666649968,0.5431661875833345,33.3651996576061
W Central Idaho (Brundage/Tamarack),Early season,big_storm_days_per_window,El Nino,weak,5,1.3993667250956217,1.6279422666649968,-0.2285755415693751,-14.040764605100835
W Central Idaho (Brundage/Tamarack),Early season,big_storm_days_per_window,La Nina,moderate,4,1.68214258641639,1.6279422666649968,0.05420031975139317,3.329376038772429
W Central Idaho (Brundage/Tamarack),Early season,big_storm_days_per_window,La Nina,strong,5,2.062056805384566,1.6279422666649968,0.43411453871956907,26.66645787193033
W Central Idaho (Brundage/Tamarack),Early season,big_storm_days_per_window,La Nina,weak,7,1.5780328841593898,1.6279422666649968,-0.04990938250560695,-3.0657956075955526
W Central Idaho (Brundage/Tamarack),Early season,big_storm_days_per_window,Neutral,neutral,15,1.740887171539934,1.6279422666649968,0.11294490487493736,6.937893756288811
W Central Idaho (Brundage/Tamarack),Holidays,big_storm_days_per_window,El Nino,moderate,4,1.1178904708009634,1.060804322970243,0.0570861478307203,5.381402261906284
W Central Idaho (Brundage/Tamarack),Holidays,big_storm_days_per_window,El Nino,strong,3,0.12695077892022505,1.060804322970243,-0.933853544050018,-88.03259223484648
W Central Idaho (Brundage/Tamarack),Holidays,big_storm_days_per_window,El Nino,very strong,3,2.044419821263436,1.060804322970243,0.9836154982931928,92.72355673844521
W Central Idaho (Brundage/Tamarack),Holidays,big_storm_days_per_window,El Nino,weak,5,0.9467153108121801,1.060804322970243,-0.114089012158063,-10.754953546815752
W Central Idaho (Brundage/Tamarack),Holidays,big_storm_days_per_window,La Nina,moderate,4,0.9133396055820333,1.060804322970243,-0.14746471738820977,-13.901217613377536
W Central Idaho (Brundage/Tamarack),Holidays,big_storm_days_per_window,La Nina,strong,5,1.228045544196753,1.060804322970243,0.16724122122650997,15.765510905747062
W Central Idaho (Brundage/Tamarack),Holidays,big_storm_days_per_window,La Nina,weak,7,1.0748566119736478,1.060804322970243,0.014052289003404717,1.324682479051219
W Central Idaho (Brundage/Tamarack),Holidays,big_storm_days_per_window,Neutral,neutral,15,1.0506777461125343,1.060804322970243,-0.010126576857708791,-0.9546130835283987
W Central Idaho (Brundage/Tamarack),Midwinter,big_storm_days_per_window,El Nino,moderate,4,2.9450926364697483,2.244421784939096,0.7006708515306523,31.218323411063558
W Central Idaho (Brundage/Tamarack),Midwinter,big_storm_days_per_window,El Nino,strong,3,1.0881708462082715,2.244421784939096,-1.1562509387308244,-51.516651036346985
W Central Idaho (Brundage/Tamarack),Midwinter,big_storm_days_per_window,El Nino,very strong,3,2.241063115252563,2.244421784939096,-0.003358669686532867,-0.14964520969591313
W Central Idaho (Brundage/Tamarack),Midwinter,big_storm_days_per_window,El Nino,weak,5,1.4615147461269387,2.244421784939096,-0.7829070388121573,-34.882348944648214
W Central Idaho (Brundage/Tamarack),Midwinter,big_storm_days_per_window,La Nina,moderate,4,2.9034001593680356,2.244421784939096,0.6589783744289397,29.36071904358305
W Central Idaho (Brundage/Tamarack),Midwinter,big_storm_days_per_window,La Nina,strong,5,3.1137532138118003,2.244421784939096,0.8693314288727043,38.73297945627873
W Central Idaho (Brundage/Tamarack),Midwinter,big_storm_days_per_window,La Nina,weak,7,1.4185538819384875,2.244421784939096,-0.8258679030006084,-36.7964661786162
W Central Idaho (Brundage/Tamarack),Midwinter,big_storm_days_per_window,Neutral,neutral,15,2.4703674710801113,2.244421784939096,0.2259456861410154,10.066988640780218
W Central Idaho (Brundage/Tamarack),Spring,big_storm_days_per_window,El Nino,moderate,4,0.5094794527855245,1.0532212507841825,-0.543741797998658,-51.626550223308875
W Central Idaho (Brundage/Tamarack),Spring,big_storm_days_per_window,El Nino,strong,3,1.0304800915546062,1.0532212507841825,-0.022741159229576313,-2.1592005680329978
W Central Idaho (Brundage/Tamarack),Spring,big_storm_days_per_window,El Nino,very strong,3,1.187122522053987,1.0532212507841825,0.13390127126980444,12.713498818041074
W Central Idaho (Brundage/Tamarack),Spring,big_storm_days_per_window,El Nino,weak,5,0.7505443612525659,1.0532212507841825,-0.30267688953161664,-28.73820570048854
W Central Idaho (Brundage/Tamarack),Spring,big_storm_days_per_window,La Nina,moderate,4,1.0971480026664286,1.0532212507841825,0.04392675188224615,4.170705048871755
W Central Idaho (Brundage/Tamarack),Spring,big_storm_days_per_window,La Nina,strong,5,0.7606767234439695,1.0532212507841825,-0.29254452734021297,-27.776170213276373
W Central Idaho (Brundage/Tamarack),Spring,big_storm_days_per_window,La Nina,weak,7,1.2376328239649435,1.0532212507841825,0.18441157318076096,17.509290953202488
W Central Idaho (Brundage/Tamarack),Spring,big_storm_days_per_window,Neutral,neutral,15,1.2766216454801007,1.0532212507841825,0.22340039469591821,21.21115525627536
Wasatch (Alta/Snowbird/Park City),Early season,big_storm_days_per_window,El Nino,moderate,4,0.9092744318019361,1.5474853215473734,-0.6382108897454373,-41.24180571272059
Wasatch (Alta/Snowbird/Park City),Early season,big_storm_days_per_window,El Nino,strong,3,1.372920347112632,1.5474853215473734,-0.1745649744347415,-11.280557689567559
Wasatch (Alta/Snowbird/Park City),Early season,big_storm_days_per_window,El Nino,very strong,3,1.0979950021752998,1.5474853215473734,-0.4494903193720736,-29.04649970589807
