region,window,metric,metric_label,n_total,test,n,r,r2,p,min_detectable_r,fdr_significant,n_tests
S Sierra (Mammoth/June),Early season,storm_days,Storm days per 30 (>= 2 in of new snow),48,within_nino,16,0.25500345754943976,0.06502676336216892,0.3395320935812837,0.6509928978614332,False,2619
S Sierra (Mammoth/June),Early season,big_storm_days,Powder days per 30 (>= 6 in of new snow),48,within_nino,16,0.2558496978161777,0.06545906787262945,0.33973205358928216,0.6509928978614332,False,2619
Whitefish & Flathead Range,Spring,mean_swe,Base (mean SWE in window),52,within_nino,18,0.24117850354416473,0.058167070571802676,0.34033193361327735,0.6189900709973589,False,2619
Wind River Range,Early season,big_storm_days,Powder days per 30 (>= 6 in of new snow),48,within_nino,16,-0.2530109370706256,0.06401453427735607,0.3405318936212757,0.6509928978614332,False,2619
Mt Hood,Midwinter,storm_days,Storm days per 30 (>= 2 in of new snow),48,within_nino,16,0.25513524448575786,0.06509399297880744,0.3411317736452709,0.6509928978614332,False,2619
North Cascades (Mt Baker),Early season,mean_swe,Base (mean SWE in window),31,within_nina,13,0.2913087656178827,0.08486079692581452,0.34173165366926617,0.7093821438227795,False,2619
S Washington Cascades (Crystal/White Pass),Spring,days_with_base,Days per 30 with a skiable base,45,within_nina,16,-0.26415188165423753,0.06977621658147432,0.34273145370925817,0.6509928978614332,False,2619
Mt Hood,Holidays,storm_days,Storm days per 30 (>= 2 in of new snow),48,within_nina,16,-0.24874819895254766,0.06187566648213623,0.34293141371725655,0.6509928978614332,False,2619
Wind River Range,Early season,mean_depth,Base (mean snow depth),28,within_nina,12,0.2953793405781341,0.08724895484037333,0.34313137372525493,0.732389290340833,False,2619
Park Range (Steamboat),Early season,storm_days,Storm days per 30 (>= 2 in of new snow),47,nested,47,,0.02091952816534414,0.34315951292605484,0.39891242123069554,False,2619
E Cascades rain shadow (Mission Ridge),Spring,mean_swe,Base (mean SWE in window),45,within_nina,16,-0.2528884730288236,0.06395257979085005,0.34353129374125174,0.6509928978614332,False,2619
N Sangre de Cristo (Taos),Midwinter,storm_days,Storm days per 30 (>= 2 in of new snow),47,within_nino,16,-0.2515498527293674,0.06327732840816644,0.34453109378124375,0.6509928978614332,False,2619
Wasatch (Alta/Snowbird/Park City),Spring,days_with_base,Days per 30 with a skiable base,48,within_nino,16,0.25253858737382034,0.0637757381127647,0.3453309338132374,0.6509928978614332,False,2619
Jemez (Pajarito),Spring,storm_days,Storm days per 30 (>= 2 in of new snow),46,within_nina,16,0.2544039680420491,0.06472137895553995,0.34553089382123575,0.6509928978614332,False,2619
N Sierra / Tahoe (Palisades/Heavenly/Rose),Spring,days_with_base,Days per 30 with a skiable base,48,within_nina,16,-0.2567488054129493,0.06591994908097651,0.3463307338532294,0.6509928978614332,False,2619
Front Range (Winter Park/Loveland/A-Basin),Early season,days_with_base,Days per 30 with a skiable base,47,nested,47,,0.020642202515044342,0.3464127817433523,0.39891242123069554,False,2619
Bighorn Mtns (Meadowlark),Spring,big_storm_days,Powder days per 30 (>= 6 in of new snow),48,nested,48,,0.02017207440320594,0.34641876168459573,0.3949367405566347,False,2619
Wasatch (Alta/Snowbird/Park City),Spring,new_snow_in_total,Total new snow in the window (in),48,within_nino,16,0.2467071629973439,0.06086442427419802,0.34673065386922614,0.6509928978614332,False,2619
S Sierra (Mammoth/June),Spring,mean_swe,Base (mean SWE in window),48,within_nino,16,0.25403801673941495,0.06453531394889526,0.34693061387722457,0.6509928978614332,False,2619
S San Juans (Wolf Creek),Midwinter,mean_swe,Base (mean SWE in window),46,within_nina,16,-0.25423648939762694,0.06463619254122968,0.34713057388522295,0.6509928978614332,False,2619
Snowy Range & Sierra Madre,Early season,new_snow_in_total,Total new snow in the window (in),48,nested,48,,0.020039167786837064,0.348028749377714,0.3949367405566347,False,2619
San Francisco Peaks (AZ Snowbowl),Holidays,big_storm_days,Powder days per 30 (>= 6 in of new snow),46,within_nino,15,-0.2711809417350823,0.0735391031603261,0.34833033393321333,0.6688990105175066,False,2619
Missoula ranges (Montana Snowbowl),Spring,big_storm_days,Powder days per 30 (>= 6 in of new snow),46,within_nina,16,0.24849220170493275,0.06174837430816498,0.34933013397320534,0.6509928978614332,False,2619
Mt Hood,Spring,big_storm_days,Powder days per 30 (>= 6 in of new snow),48,within_nino,16,-0.25364657317739203,0.0643365840846341,0.34973005398920215,0.6509928978614332,False,2619
Bighorn Mtns (Meadowlark),Spring,storm_days,Storm days per 30 (>= 2 in of new snow),48,nested,48,,0.019879456831402964,0.34997661393455726,0.3949367405566347,False,2619
E Cascades rain shadow (Mission Ridge),Holidays,big_storm_days,Powder days per 30 (>= 6 in of new snow),45,nested,45,,0.021301588270332825,0.3503687198550922,0.40723664075787896,False,2619
Park Range (Steamboat),Midwinter,storm_days,Storm days per 30 (>= 2 in of new snow),47,nested,47,,0.02019803192675683,0.3517090367059753,0.39891242123069554,False,2619
Markagunt (Brian Head),Midwinter,storm_days,Storm days per 30 (>= 2 in of new snow),46,within_nino,15,0.2647499860237379,0.07009255509956941,0.35172965406918616,0.6688990105175066,False,2619
Elk Mtns (Aspen/Crested Butte),Holidays,mean_swe,Base (mean SWE in window),46,within_nina,16,0.25224705769206374,0.06362857811430334,0.35172965406918616,0.6509928978614332,False,2619
San Francisco Peaks (AZ Snowbowl),Spring,big_storm_days,Powder days per 30 (>= 6 in of new snow),46,within_nino,15,0.25372702861040813,0.06437740504746686,0.35172965406918616,0.6688990105175066,False,2619
Klamath & Siskiyou (Mt Shasta),Midwinter,storm_days,Storm days per 30 (>= 2 in of new snow),46,nested,46,,0.020661052546169026,0.3519270909782146,0.40301026636269627,False,2619
Wind River Range,Spring,days_with_base,Days per 30 with a skiable base,48,within_nina,16,-0.25164637680648333,0.0633258989598306,0.35192961407718454,0.6509928978614332,False,2619
W Central Idaho (Brundage/Tamarack),Early season,days_with_base,Days per 30 with a skiable base,46,within_nina,16,-0.2571892253381869,0.06614629763005667,0.35192961407718454,0.6509928978614332,False,2619
Tushar Mtns (Eagle Point),Midwinter,new_snow_in_total,Total new snow in the window (in),47,nested,47,,0.020109294604265575,0.35278003257989743,0.39891242123069554,False,2619
Jemez (Pajarito),Spring,days_with_base,Days per 30 with a skiable base,46,nested,46,,0.020567440863043657,0.3530318621486429,0.40301026636269627,False,2619
San Francisco Peaks (AZ Snowbowl),Early season,new_snow_in_total,Total new snow in the window (in),46,within_nino,15,0.25458455544900743,0.06481329587316874,0.35332933413317336,0.6688990105175066,False,2619
S Sierra (Mammoth/June),Spring,days_with_base,Days per 30 with a skiable base,48,nested,48,,0.019604367837170223,0.3533658473294553,0.3949367405566347,False,2619
Beartooth & Absaroka (Red Lodge),Midwinter,big_storm_days,Powder days per 30 (>= 6 in of new snow),53,within_nina,19,0.23047747055635326,0.053119864434054684,0.3535292941411718,0.6046192670424827,False,2619
S San Juans (Wolf Creek),Early season,days_with_base,Days per 30 with a skiable base,46,within_nina,16,-0.2487556520376963,0.06187937442069945,0.3535292941411718,0.6509928978614332,False,2619
N Sangre de Cristo (Taos),Midwinter,days_with_base,Days per 30 with a skiable base,47,within_nina,16,-0.2538210826402597,0.06442514199267355,0.35392921415716855,0.6509928978614332,False,2619
S Sangre de Cristo (Santa Fe),Spring,days_with_base,Days per 30 with a skiable base,46,within_nino,15,0.27081370109009434,0.07334006069811497,0.35452909418116374,0.6688990105175066,False,2619
Snowy Range & Sierra Madre,Holidays,new_snow_in_total,Total new snow in the window (in),48,nested,48,,0.019497428197231985,0.35469523373772494,0.3949367405566347,False,2619
Markagunt (Brian Head),Holidays,new_snow_in_total,Total new snow in the window (in),46,within_nino,15,-0.2627173211529459,0.0690203908337801,0.35492901419716055,0.6688990105175066,False,2619
N Sangre de Cristo (Taos),Spring,big_storm_days,Powder days per 30 (>= 6 in of new snow),47,nested,47,,0.019890896029443793,0.3554345763247997,0.39891242123069554,False,2619
Whitefish & Flathead Range,Midwinter,storm_days,Storm days per 30 (>= 2 in of new snow),52,within_nino,18,0.23119001442745674,0.05344882277096765,0.3557288542291542,0.6189900709973589,False,2619
Gore & Tenmile (Vail/Summit/Copper),Early season,mean_depth,Base (mean snow depth),28,within_nina,12,0.29580235037123637,0.08749903048514768,0.3557288542291542,0.732389290340833,False,2619
Whitefish & Flathead Range,Midwinter,new_snow_in_total,Total new snow in the window (in),52,within_nino,18,0.23485134199892485,0.055155152838695966,0.35592881423715256,0.6189900709973589,False,2619
Front Range (Winter Park/Loveland/A-Basin),Early season,new_snow_in_total,Total new snow in the window (in),48,within_nina,16,0.2492268629549198,0.062114029218350374,0.357128574285143,0.6509928978614332,False,2619
Bitterroots (Lost Trail),Early season,new_snow_in_total,Total new snow in the window (in),59,nested,59,,0.015437327718357282,0.3571352697479562,0.3578147819208976,False,2619
Bitterroots (Lost Trail),Spring,days_with_base,Days per 30 with a skiable base,56,within_nina,21,-0.21765011083336705,0.04737157074577696,0.35792841431713657,0.578589616221095,False,2619
Bighorn Mtns (Meadowlark),Midwinter,new_snow_in_total,Total new snow in the window (in),48,nested,48,,0.019230749872679156,0.3580396970100578,0.3949367405566347,False,2619
Beartooth & Absaroka (Red Lodge),Spring,storm_days,Storm days per 30 (>= 2 in of new snow),53,within_nina,19,-0.22357921614621784,0.049987665892557195,0.35812837432513495,0.6046192670424827,False,2619
Beartooth & Absaroka (Red Lodge),Midwinter,new_snow_in_total,Total new snow in the window (in),53,within_nina,19,-0.22381049487722218,0.050091137617187094,0.35892821435712857,0.6046192670424827,False,2619
San Juans (Telluride/Purgatory),Early season,big_storm_days,Powder days per 30 (>= 6 in of new snow),46,within_nino,15,0.25067073325776207,0.0628358165119841,0.35892821435712857,0.6688990105175066,False,2619
Gore & Tenmile (Vail/Summit/Copper),Holidays,new_snow_in_total,Total new snow in the window (in),48,within_nina,16,0.24652339192638073,0.06077378276688792,0.3593281343731254,0.6509928978614332,False,2619
Elk Mtns (Aspen/Crested Butte),Midwinter,storm_days,Storm days per 30 (>= 2 in of new snow),46,nested,46,,0.020017644178192462,0.3596149501809388,0.40301026636269627,False,2619
S Sierra (Mammoth/June),Midwinter,big_storm_days,Powder days per 30 (>= 6 in of new snow),48,nested,48,,0.019100681845144376,0.359686291129822,0.3949367405566347,False,2619
Front Range (Winter Park/Loveland/A-Basin),Early season,storm_days,Storm days per 30 (>= 2 in of new snow),48,within_nina,16,0.2448838408209065,0.059968095495199075,0.36052789442111577,0.6509928978614332,False,2619
Central Oregon (Mt Bachelor),Midwinter,big_storm_days,Powder days per 30 (>= 6 in of new snow),46,within_nino,15,0.25282135829263236,0.06391863920893158,0.36052789442111577,0.6688990105175066,False,2619
E Cascades rain shadow (Mission Ridge),Holidays,new_snow_in_total,Total new snow in the window (in),45,within_nina,16,-0.24687374368269369,0.060946645319908344,0.36052789442111577,0.6509928978614332,False,2619
S San Juans (Wolf Creek),Spring,days_with_base,Days per 30 with a skiable base,46,within_nino,15,0.25536953538717083,0.0652135996038595,0.3607278544291142,0.6688990105175066,False,2619
Madison & Gallatin (Big Sky),Early season,mean_swe,Base (mean SWE in window),60,within_nino,20,0.21106730579107974,0.044549407573905166,0.3607278544291142,0.5911839833526782,False,2619
S Sangre de Cristo (Santa Fe),Holidays,days_with_base,Days per 30 with a skiable base,30,within_nina,12,0.29738251951625694,0.08843636291383694,0.3607278544291142,0.732389290340833,False,2619
Bridger Range (Bridger Bowl),Early season,big_storm_days,Powder days per 30 (>= 6 in of new snow),50,nested,50,,0.018165402974081202,0.3610638987575099,0.387328532677401,False,2619
Chugach (Alyeska),Midwinter,big_storm_days,Powder days per 30 (>= 6 in of new snow),43,nested,43,,0.021426482341224504,0.3611255508069766,0.4161028431113385,False,2619
S Sierra (Mammoth/June),Spring,mean_swe,Base (mean SWE in window),48,nested,48,,0.01898597325175839,0.36114692299554496,0.3949367405566347,False,2619
N Sierra / Tahoe (Palisades/Heavenly/Rose),Spring,new_snow_in_total,Total new snow in the window (in),48,within_nina,16,0.24238995481485195,0.05875289019514597,0.3623275344931014,0.6509928978614332,False,2619
Whitefish & Flathead Range,Early season,new_snow_in_total,Total new snow in the window (in),52,within_nina,18,-0.2232956795314359,0.04986096049740572,0.3623275344931014,0.6189900709973589,False,2619
San Juans (Telluride/Purgatory),Midwinter,new_snow_in_total,Total new snow in the window (in),46,within_nina,16,-0.24704582587399032,0.06103164008176194,0.3629274145170966,0.6509928978614332,False,2619
Tushar Mtns (Eagle Point),Early season,mean_swe,Base (mean SWE in window),47,within_nina,16,0.23960880232975504,0.05741237815389962,0.3635272945410918,0.6509928978614332,False,2619
S Washington Cascades (Crystal/White Pass),Holidays,mean_depth,Base (mean snow depth),29,nested,29,,0.03307956591338819,0.36390389860720207,0.5000974343469677,False,2619
Markagunt (Brian Head),Early season,storm_days,Storm days per 30 (>= 2 in of new snow),46,within_nino,15,0.2540942778206283,0.06456390202118666,0.364127174565087,0.6688990105175066,False,2619
White Mtns AZ (Sunrise Park),Holidays,storm_days,Storm days per 30 (>= 2 in of new snow),46,within_nina,16,0.2408222438313679,0.05799535312397482,0.364127174565087,0.6509928978614332,False,2619
Central Oregon (Mt Bachelor),Holidays,big_storm_days,Powder days per 30 (>= 6 in of new snow),46,within_nino,15,0.25051990513878736,0.06276022287074702,0.3643271345730854,0.6688990105175066,False,2619
Bitterroots (Lost Trail),Early season,mean_depth,Base (mean snow depth),25,nested,25,,0.03931139932234367,0.36446107750755896,0.5351255042517953,False,2619
Whitefish & Flathead Range,Early season,days_with_base,Days per 30 with a skiable base,52,nested,52,,0.017155758548409252,0.3645880025586431,0.38014271330980004,False,2619
Front Range (Winter Park/Loveland/A-Basin),Holidays,big_storm_days,Powder days per 30 (>= 6 in of new snow),48,within_nino,16,-0.2478229955513101,0.061416237124024664,0.365126974605079,0.6509928978614332,False,2619
Sawtooth & Smoky (Sun Valley),Early season,storm_days,Storm days per 30 (>= 2 in of new snow),46,within_nina,16,0.23556733026605337,0.05549196708867586,0.3655268946210758,0.6509928978614332,False,2619
Selkirks (Schweitzer),Holidays,mean_swe,Base (mean SWE in window),45,nested,45,,0.020006032978763372,0.36560786994071237,0.40723664075787896,False,2619
Bitterroots (Lost Trail),Holidays,new_snow_in_total,Total new snow in the window (in),59,within_nina,22,0.20394372940053473,0.04159304476179854,0.3659268146370726,0.5667539699566799,False,2619
Mt Hood,Spring,storm_days,Storm days per 30 (>= 2 in of new snow),48,within_nina,16,-0.24108391687471944,0.058121454975656635,0.3659268146370726,0.6509928978614332,False,2619
Central Oregon (Mt Bachelor),Spring,big_storm_days,Powder days per 30 (>= 6 in of new snow),46,within_nino,15,0.24868988223345662,0.06184665752529052,0.366126774645071,0.6688990105175066,False,2619
Snowy Range & Sierra Madre,Holidays,storm_days,Storm days per 30 (>= 2 in of new snow),48,nested,48,,0.018545208756937253,0.3668346101233385,0.3949367405566347,False,2619
Central Cascades (Stevens/Snoqualmie),Early season,mean_swe,Base (mean SWE in window),45,within_nina,16,0.2412054114192736,0.05818005049794104,0.3669266146770646,0.6509928978614332,False,2619
N Sierra / Tahoe (Palisades/Heavenly/Rose),Early season,new_snow_in_total,Total new snow in the window (in),48,within_nina,16,0.25107029558529864,0.06303629332528923,0.367126574685063,0.6509928978614332,False,2619
Beartooth & Absaroka (Red Lodge),Midwinter,big_storm_days,Powder days per 30 (>= 6 in of new snow),53,within_nino,18,-0.22957200557186366,0.0527033057422878,0.3677264547090582,0.6189900709973589,False,2619
Wind River Range,Early season,big_storm_days,Powder days per 30 (>= 6 in of new snow),48,nested,48,,0.01846234610472341,0.36791743797609855,0.3949367405566347,False,2619
San Juans (Telluride/Purgatory),Early season,mean_swe,Base (mean SWE in window),46,nested,46,,0.019336795953511197,0.36799850989653005,0.40301026636269627,False,2619
Jemez (Pajarito),Spring,new_snow_in_total,Total new snow in the window (in),46,within_nino,15,0.24791233558501716,0.061460526135218164,0.3685262947410518,0.6688990105175066,False,2619
S Sangre de Cristo (Santa Fe),Holidays,new_snow_in_total,Total new snow in the window (in),46,within_nino,15,-0.25007594420331586,0.06253797786917994,0.369126174765047,0.6688990105175066,False,2619
Front Range (Winter Park/Loveland/A-Basin),Spring,new_snow_in_total,Total new snow in the window (in),48,within_nina,16,-0.23902221175533597,0.05713161771241267,0.369126174765047,0.6509928978614332,False,2619
Snowy Range & Sierra Madre,Midwinter,big_storm_days,Powder days per 30 (>= 6 in of new snow),48,within_nina,16,-0.2391625590761391,0.057198729663847724,0.369126174765047,0.6509928978614332,False,2619
Missoula ranges (Montana Snowbowl),Early season,days_with_base,Days per 30 with a skiable base,37,nested,37,,0.0244209317710525,0.37000350675810556,0.44661825834767355,False,2619
Gore & Tenmile (Vail/Summit/Copper),Early season,new_snow_in_total,Total new snow in the window (in),48,within_nina,16,0.2402278424410242,0.05770941628386954,0.3707258548290342,0.6509928978614332,False,2619
Front Range (Winter Park/Loveland/A-Basin),Spring,mean_depth,Base (mean snow depth),28,within_nina,12,-0.283826752690772,0.08055762554298866,0.3717256548690262,0.732389290340833,False,2619
S Sierra (Mammoth/June),Holidays,days_with_base,Days per 30 with a skiable base,48,nested,48,,0.018122851869391752,0.37239967812734376,0.3949367405566347,False,2619
Gore & Tenmile (Vail/Summit/Copper),Spring,storm_days,Storm days per 30 (>= 2 in of new snow),48,within_nino,16,0.23890776480030612,0.05707692008187839,0.3727254549090182,0.6509928978614332,False,2619
Selkirks (Schweitzer),Holidays,storm_days,Storm days per 30 (>= 2 in of new snow),45,within_nina,16,-0.24021514554569864,0.05770331614954118,0.3729254149170166,0.6509928978614332,False,2619
